state,region
Andaman and Nicobar Islands,EASTERN REGION
Andhra Pradesh,SOUTHERN REGION
Arunachal Pradesh,NORTH-EASTERN REGION
Assam,NORTH-EASTERN REGION
Bihar,EASTERN REGION
Chandigarh,NORTHERN REGION
Chhattisgarh,CENTRAL REGION
Dadra & Nagar Haveli,WESTERN REGION
Daman & Diu,WESTERN REGION
Delhi,NORTHERN REGION
Goa,WESTERN REGION
Gujarat,WESTERN REGION
Haryana,NORTHERN REGION
Himachal Pradesh,NORTHERN REGION
Jammu and Kashmir,NORTHERN REGION
Jharkhand,EASTERN REGION
Karnataka,SOUTHERN REGION
Kerala,SOUTHERN REGION
Lakshadweep,SOUTHERN REGION
Madhya Pradesh,CENTRAL REGION
Maharashtra,WESTERN REGION
Manipur,NORTH-EASTERN REGION
Meghalaya,NORTH-EASTERN REGION
Mizoram,NORTH-EASTERN REGION
Nagaland,NORTH-EASTERN REGION
Odisha,EASTERN REGION
Pondicherry,SOUTHERN REGION
Punjab,NORTHERN REGION
Rajasthan,NORTHERN REGION
Sikkim,EASTERN REGION
Tamil Nadu,SOUTHERN REGION
Telangana,SOUTHERN REGION
Tripura,NORTH-EASTERN REGION
Uttar Pradesh,CENTRAL REGION
Uttarakhand,CENTRAL REGION
West Bengal,EASTERN REGION
